date,nov_load,ev_load,cov_load,orig_data
2021-02-27,2447043932417143,333612919761531.44,13274610417405.568,TRUE
2021-02-28,2526173589374857,337537932188355.94,13552937043111.812,NA
2021-03-01,2621577646994285.5,342006404937090.6,13985479058385.863,TRUE
2021-03-02,2749869643072653,351496602890478.4,14327411961829.781,NA
2021-03-03,2922655585389388,369567962707033.44,14531960157928.951,TRUE
2021-03-04,3082109433355804.5,391258681887214.5,14797513885903.879,NA
2021-03-05,3233006437242760,412926353064724.3,15124073145754.564,TRUE
2021-03-06,3375346597050254.5,434570976239562.94,15511637937481.01,NA
2021-03-07,3522875899619431,456028382187810.3,15881041318813.951,TRUE
2021-03-08,3666988557672288,483684204856758.2,16325564191480.621,NA
2021-03-09,3781364913945397.5,516560297345766.6,16839203058375.08,TRUE
2021-03-10,3871807407169431,540479516856180.06,17431699378153.74,NA
2021-03-11,3913388995330674.5,553362536105312.8,18126222427117.17,TRUE
2021-03-12,3936604708353918.5,559859073202324.6,18761815885258.477,NA
2021-03-13,3826524777669448,539092377632186.8,19338479752577.656,TRUE
2021-03-14,3570776458341969,492746011416916.2,20277458328823.152,NA
2021-03-15,3434651768681195.5,468002041292398.56,21671424482609.895,NA
2021-03-16,3441248526251414,465346998259390.2,23369266486707.984,NA
2021-03-17,3471587247292624,457901479943948.1,24988705798456.266,TRUE
2021-03-18,3479284495028775.5,447343255894728,25885076361001.9,NA
2021-03-19,3475944957085011,439546511536072.5,26558504434904.14,TRUE
2021-03-20,3515162725114271.5,432553693636385.1,27387082032924.504,NA
2021-03-21,3558795399235414,423825856717527,28114849937571.39,TRUE
2021-03-22,3567720033605162,414129967487481.4,28843752140718.902,NA
2021-03-23,3525323090426290.5,398987761063505.44,29818613143764.973,TRUE
2021-03-24,3395994102272706.5,379883602195662.5,30777426483919.22,NA
2021-03-25,3237559109733096.5,361779293383494.2,31521801921961.137,TRUE
2021-03-26,3096058319139056.5,341190705680814.56,32635624692952.883,NA
2021-03-27,2971491730490587,318117839087623.7,34118894796894.46,TRUE
2021-03-28,2881538518377561.5,297870832452153.06,35417651681578.87,NA
2021-03-29,2834804470077982,274064051827111.06,36438614445278.87,TRUE
2021-03-30,2808933796487225.5,244663837454169.9,37500809751432.07,NA
2021-03-31,2798124058874620.5,223847332131985.03,38594496141382.08,TRUE
2021-04-01,2835932899981343,220590291126606.88,40224577978155.766,NA
2021-04-02,2891865289882603.5,230242996328875.78,42552011581760.03,TRUE
2021-04-03,2895081524363530,245134402845446.44,44228039111798.99,NA
2021-04-04,2857954348359417,263580948654302,44831416268524.21,TRUE
2021-04-05,2833262504568394.5,283923496602246.9,45149638655628.52,NA
2021-04-06,2797908175426177,305675515688524.7,45333818000341.836,TRUE
2021-04-07,2731839567076029,321524193150118.7,44871494072375.7,NA
2021-04-08,2681440116293999.5,329791759438373.3,44407332928582.97,TRUE
2021-04-09,2627116908123973.5,330897080568257,44147305626880.83,NA
2021-04-10,2515275850913009.5,326797709771366.44,43713320154507.77,TRUE
2021-04-11,2392688768774946,324514715352655.4,43582281864301.09,NA
2021-04-12,2298478607553060,323281130604140.75,43652246764386.695,TRUE
2021-04-13,2209266271471573,321882810485038.7,43524045607146.46,NA
2021-04-14,2160662227956577.8,318835390245285.7,43459684855370.76,TRUE
2021-04-15,2164124461921902.5,314610483714621.94,43478564329756.11,NA
2021-04-16,2173612767035950,312692219839233.3,42996798795240.35,TRUE
2021-04-17,2164007855825623,313955360404292.6,41933357362643.58,NA
2021-04-18,2117630553701047.5,313089766561568.3,40842200584172.78,TRUE
2021-04-19,2088027719323097.8,310083245782545.25,40096878529196.21,NA
2021-04-20,2097555141796395.8,306969457825551.25,39378364534276.25,TRUE
2021-04-21,2102905027332328.8,301174565848266,38451669416474.74,NA
2021-04-22,2070519733189720.5,283722814584639.1,36811888812764.82,TRUE
2021-04-23,1968459961863201.2,256673616520022.6,34406410898996.336,NA
2021-04-24,1867565417567643.2,227698016547761.7,32583993515565.17,TRUE
2021-04-25,1810594793643548.8,197929041202602.62,31313749474374.207,NA
2021-04-26,1744769347392787.2,169025827637741,29808183171730.6,TRUE
2021-04-27,1669854047216539.2,139040788271201.52,28428529413678.445,NA
2021-04-28,1605900686971540.5,115286735866000.95,27687248430506.18,TRUE
2021-04-29,1537077479653498,98114001628879.72,26907967307061.195,NA
2021-04-30,1482977340218528.2,87103719544869.42,25884714985426.285,TRUE
2021-05-01,1473748734053581,84312659006457.375,25135291344977.582,NA
2021-05-02,1462619837044818.2,82719751708689.69,24182791032877.793,TRUE
2021-05-03,1414458550387845.5,79872604232530.55,22965488188291.66,NA
2021-05-04,1352643969858441,76985361618763.77,21882552058837.312,TRUE
2021-05-05,1312700184377653.8,77564265820131.98,20932639039859.613,NA
2021-05-06,1283169209031655.8,81137703006894.98,20096349310662.06,TRUE
2021-05-07,1233382122362007,83964698894418.52,19373682871244.64,NA
2021-05-08,1188458211841805,85170491697529.72,18845670610787.28,TRUE
2021-05-09,1162657690896639.8,85962617662746.08,18451621708246.277,NA
2021-05-10,1102433700865636.8,86353269318582.66,17817986094253.4,TRUE
2021-05-11,1007786241748796.4,86342446665039.45,16944763768808.643,NA
2021-05-12,922023107334731,88503986544436.75,16066943914850.166,TRUE
2021-05-13,838872914068268.6,90783611054771.95,15159594767968.037,NA
2021-05-14,790274959454778.5,91121907710693.08,14275328152312.39,TRUE
2021-05-15,780290763701079.75,92449215741231.8,13585518257099.049,NA
2021-05-16,766161633466669.6,93632508611642,13121052270425.13,TRUE
2021-05-17,748588717279143,92875226026066.9,12771898984860.107,NA
2021-05-18,727807046737319.6,92124955566481.875,12176823594359.89,TRUE
2021-05-19,704917711987640.25,92192214208164.375,11268599297889.28,NA
2021-05-20,695752500034397.9,92726670744374.05,10723599010600.889,NA
2021-05-21,698376501266483.9,94245029049541.05,10560352721320.906,NA
2021-05-22,682641250296948,94690519731178.06,10261060550673.205,TRUE
2021-05-23,657097832898114.4,93875974105251.77,9835474680182.521,NA
2021-05-24,656878347874377.75,94253785590797.98,9345320970684.11,TRUE
2021-05-25,670293019142750.75,95879618845766.375,8824173279369.45,NA
2021-05-26,661817757782184.4,95247231917414.28,8273375210893.668,TRUE
2021-05-27,639845201432145.6,92435660736426.2,7773541845007.345,NA
2021-05-28,635044271551074.25,91185879587436.375,7324673181710.479,TRUE
2021-05-29,633531581044925.25,89093747285453.8,6835231835025.148,NA
2021-05-30,621046916488108.75,84951727583961,6365908625995.048,TRUE
2021-05-31,605042312317972.25,81561722137846.69,6004499884115.944,NA
2021-06-01,585517768534515.5,78923730947110.86,5751005609387.839,TRUE
2021-06-02,562575623866560.75,76839974611420.17,5549286065929.4375,NA
2021-06-03,542487261869279.94,77364731032777.17,5424273018150.67,TRUE
2021-06-04,527889786657108.2,79328100543869.47,5327316823932.193,NA
2021-06-05,514721678023226.6,79799743915665.36,5087043294058.186,TRUE
2021-06-06,506198017083890.4,80317606338095.98,4712055932362.377,NA
2021-06-07,501617655311504.56,82678248107018.1,4312385946275.2964,TRUE
2021-06-08,502839355024113.3,85215312957097.27,3917752920901.95,NA
2021-06-09,508762026075275.94,87118283913056.05,3595383657277.5356,TRUE
2021-06-10,514956102571082.56,92688825688246.1,3319395252367.5254,NA
2021-06-11,523356494122641.94,101410234408237.28,3071257717345.727,TRUE
2021-06-12,537893981494349,107552591270905.36,2931831358707.0576,NA
2021-06-13,550017478913879.5,111303064960283.64,2891363994926.7803,TRUE
2021-06-14,548267007986599.56,116830494238399,2894980341306.124,NA
2021-06-15,544332344795496.56,124079214447301.78,2909106540653.6094,TRUE
2021-06-16,550207023142014,127936531817762.58,2896855740006.2847,NA
2021-06-17,557498405386685.06,128323410419096.92,2777612859613.572,TRUE
2021-06-18,554990437595417.44,129148972803352.88,2666439566404.0615,NA
2021-06-19,556566506862256,132817360155521.42,2654873246355.676,TRUE
2021-06-20,565599628065265,143318278370491.75,2699670157252.7476,NA
2021-06-21,574637766767097,157849825793375.16,2713033969599.509,TRUE
2021-06-22,584479274069580,168925328161393.8,2654216022847.102,NA
2021-06-23,595021811243891.6,176742564874881.1,2579356052876.8213,TRUE
2021-06-24,608196453850640.9,184470961867445.75,2508807633856.601,NA
2021-06-25,621366097775392.6,193280418806400.25,2491220407905.7856,TRUE
2021-06-26,643687663128598.1,205839280598425.5,2431397845136.5405,NA
