date,observed_incidence,CI_down_observed_incidence,CI_up_observed_incidence,smoothed_incidence,CI_down_smoothed_incidence,CI_up_smoothed_incidence,deconvolved_incidence,CI_down_deconvolved_incidence,CI_up_deconvolved_incidence,Re_estimate,CI_down_Re_estimate,CI_up_Re_estimate,Re_highHPD,Re_lowHPD,bootstrapped_CI_down_Re_estimate,bootstrapped_CI_up_Re_estimate,virus
2020-11-30,NA,NA,NA,NA,NA,NA,7.040207476408486,0.09918949649420039,13.981225456322772,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-01,NA,NA,NA,NA,NA,NA,7.475804520396616,2.0890090511599464,12.862599989633285,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-02,NA,NA,NA,NA,NA,NA,7.9255708183157845,3.750964654880476,12.100176981751094,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-03,NA,NA,NA,NA,NA,NA,8.311471330568692,4.994261393299919,11.628681267837464,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-04,NA,NA,NA,NA,NA,NA,8.562000839439852,5.793996297112756,11.330005381766949,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-05,7.540815559780241,1.7340019891208733,13.347629130439609,7.0219811005876025,0.09794229808902877,13.946019903086176,8.716844816381059,6.234735407889933,11.198954224872185,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-06,7.735416966784427,2.640767149068136,12.830066784500717,7.4175802430170155,1.8848494168293737,12.950311069204657,8.821898112319277,6.422744585004596,11.221051639633957,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-07,7.930018373788614,1.6736196291308216,14.186417118446407,7.817326936355459,3.366486425698361,12.268167447012559,8.914254041064654,6.46266664409395,11.365841438035357,NA,NA,NA,NA,NA,NA,NA,Enterovirus
2020-12-08,6.365450084419288,0,13.369075775912366,8.168483404043744,4.548734373226413,11.788232434861076,8.967026446165145,6.4405728413331245,11.493480050997164,1.110741310166873,0.7303701619403816,1.56957548765389,1.56957548765389,0.7303701619403816,0.9078183886164246,1.3136642317173215,Enterovirus
2020-12-09,4.800881795049961,0,13.13345918827671,8.417076961938855,5.4232156600070125,11.410938263870698,8.933277478743307,6.367665236220637,11.498889721265975,1.0762807871887181,0.7083919237669872,1.5198839203141377,1.5198839203141377,0.7083919237669872,0.9112859574833667,1.2412756168940695,Enterovirus
2020-12-10,9.037298691111047,2.2770227236810614,15.797574658541034,8.591433728947278,5.994037134700774,11.188830323193782,8.816090028871617,6.221715222305251,11.410464835437983,1.046196681746671,0.68800749422533225,1.4782530496923503,1.4782530496923503,0.68800749422533225,0.9026694914004294,1.1897238720929126,Enterovirus
2020-12-11,13.27371558717213,7.606056787996499,18.94137438634776,8.719879823975498,6.299743543507157,11.14001610444384,8.67520029023898,6.045601301855082,11.304799278622877,1.019270526519063,0.668592989557315,1.4427054635907248,1.4427054635907248,0.668592989557315,0.8946948058846821,1.1438462471534436,Enterovirus
2020-12-12,12.4268034146154,6.411342830532777,18.44226399869802,8.83074136593,6.4161564415649295,11.245326290295072,8.505244160445292,5.860918140196397,11.149570180694187,0.9964845518555786,0.6511522870215675,1.4141137569323525,1.4141137569323525,0.6511522870215675,0.8880766626950175,1.1048924410161398,Enterovirus
2020-12-13,11.579891242058668,5.794500407158147,17.36528207695919,8.89997914421605,6.441995607732048,11.357962680700053,8.216330228144177,5.595801857640511,10.836858598647842,0.9748159933626587,0.6334800244481303,1.3885395284222402,1.3885395284222402,0.6334800244481303,0.8759728770852808,1.0736591096400365,Enterovirus
2020-12-14,11.584588284342852,3.273576202088856,19.895600366596845,8.886907990324818,6.399628657958056,11.374187322691581,7.885721298047399,5.290635750828137,10.480806845266661,0.9526041419794236,0.6143541169048419,1.3638513313755045,1.3638513313755045,0.6143541169048419,0.8568981587711039,1.0483101251877431,Enterovirus
2020-12-15,11.589285326627037,2.8754739983088626,20.30309665494521,8.794885086291657,6.272715429536726,11.317054743046588,7.638308006119245,5.063651088242276,10.212964923996214,0.9338229358436327,0.5969535967836639,1.3448508219007291,1.3448508219007291,0.5969535967836639,0.8381070782891742,1.0295387933980913,Enterovirus
2020-12-16,9.869646068766551,0.9826638350297436,18.75662830250336,8.679610407609259,6.112593923474368,11.24662689174415,7.452810365605662,4.919478365510308,9.986142365701015,0.9243664748549119,0.5860780408902703,1.3384897081591507,1.3384897081591507,0.5860780408902703,0.829501751336608,1.0192311983732156,Enterovirus
2020-12-17,8.150006810906069,0.20552568260946025,16.09448793920268,8.536332118096661,5.946011173979878,11.126653062213444,7.298672534767774,4.841959184511744,9.755385885023804,0.9245532131498014,0.5823308724601038,1.3446042906066402,1.3446042906066402,0.5823308724601038,0.8321430674057262,1.0169633588938767,Enterovirus
2020-12-18,6.563174490337815,0,13.3896221558745,8.277729682278766,5.70301305955665,10.852446305000882,7.151627080044077,4.801108619955267,9.502145540132886,0.9284312208279816,0.5814491757056628,1.3552959894024945,1.3552959894024945,0.5814491757056628,0.8362104539877399,1.0206519876682232,Enterovirus
2020-12-19,4.97634216976956,0,10.95037703533286,7.975021579272633,5.420131624595399,10.529911533949868,7.116929410097516,4.85016091782697,9.383697902368063,0.9369762283050369,0.58442588178893,1.3713933855648741,1.3713933855648741,0.58442588178893,0.8417535703740936,1.0321988862359803,Enterovirus
